"Record.number","In-refID","IndividualID","Predator","Predator.common.name","Predator.taxon","Predator.lifestage","Type.of.feeding.interaction","Predator.mass","Prey","Prey.common.name","Prey.taxon","Prey.mass","Prey.mass.unit","Location"
1,"ATSH063",1,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.54E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.43E+001,"g","Apalachicola Bay, Florida"
2,"ATSH080",2,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.60E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.02E+000,"g","Apalachicola Bay, Florida"
3,"ATSH089",3,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1.84E+003,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.19E+001,"g","Apalachicola Bay, Florida"
4,"ATSH143",4,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",8.76E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",8.12E+000,"g","Apalachicola Bay, Florida"
5,"ATSH161",5,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",6.39E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.56E+000,"g","Apalachicola Bay, Florida"
6,"ATSH166",6,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.92E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.41E+000,"g","Apalachicola Bay, Florida"
7,"ATSH172",7,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.12E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.45E+000,"g","Apalachicola Bay, Florida"
8,"ATSH192",8,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",9.21E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.98E+000,"g","Apalachicola Bay, Florida"
9,"ATSH205",9,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.92E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.95E+000,"g","Apalachicola Bay, Florida"
10,"ATSH205",9,"Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",7.92E+001,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.60E+000,"g","Apalachicola Bay, Florida"
