"","Location","Predator.lifestage","FeedingInteraction","slope","intercept","r2","fstat","pvalue"
"log(Prey.mass)...1","Andaman Sea (West of South Thailand)","larva","predacious",0.941421745921814,7.00529694337675,0.412420670135113,22.4607312979481,4.23336436449333e-05
"log(Prey.mass)...2","Antarctic Peninsula","postlarva","piscivorous",0.106773528674382,-2.52746573405741,0.0389698693052271,1.25705314524184,0.270820006991041
"log(Prey.mass)...4","Antarctic Peninsula","larva","planktivorous",1.02077538176859,11.159888131702,0.330043815585915,156.165271662108,2.07689904819014e-29
"log(Prey.mass)...5","Antarctic Peninsula","postlarva/juvenile","planktivorous",0.675479706794872,6.81310614810302,0.231238785388307,78.8080363840131,1.10590667174297e-16
"log(Prey.mass)...6","Antarctic Peninsula","larva","predacious",0.7248011608966,7.41883913802821,0.637066906559136,1662.29636099526,1.22794430266921e-210
"log(Prey.mass)...7","Antarctic Peninsula","postlarva","predacious",0.15403834606651,-1.61375195212254,0.109207422360888,8.58170550266892,0.00458060708606845
"log(Prey.mass)...8","Antarctic Peninsula","postlarva/juvenile","predacious",0.177067004224335,1.21727443356887,0.131714540052319,89.1966445636788,8.30441343100103e-20
"log(Prey.mass)...9","Apalachicola Bay, Florida","adult","piscivorous",0.315601167257104,6.96676095437558,0.13840835729043,13.4939818773465,0.000420131370657501
"log(Prey.mass)...10","Apalachicola Bay, Florida","juvenile","piscivorous",0.255431068910441,7.61765814929771,0.0622128331867773,1.7911809368762,0.191944478653282
"log(Prey.mass)...11","Apalachicola Bay, Florida","adult","predacious/piscivorous",0.621895377669317,4.72504035144858,0.384283752048305,34.9509862477974,2.11324894527802e-07
"log(Prey.mass)...12","Atlantic Ocean","adult","piscivorous",0.260141577182103,6.29080531131302,0.167648928394049,2213.9660580383,0
"log(Prey.mass)...13","Atlantic Ocean","adult","predacious",0.205892717694037,6.89914238491718,0.168513283612109,1031.15969277666,3.52233438038436e-206
"log(Prey.mass)...14","Cape Cod Bay, Gulf of Maine, New England","adult","piscivorous",-0.000755719487485179,12.3638007966521,1.05682888325711e-05,0.000739788036573623,0.9783783713188
"log(Prey.mass)...15","Cape Cod Bay, Gulf of Maine, New England","adult","predacious",0.0294846614061538,12.667694092929,0.0302655879145218,0.436942554087641,0.519332318863778
"log(Prey.mass)...16","Catalan Sea","larva","planktivorous",0.257653872395838,-2.19426552537673,0.280072857461197,170.005867925651,4.7082127307071e-33
"log(Prey.mass)...17","Crooked Island Sound, Florida","adult","predacious/piscivorous",0.50644882649248,4.79484784084579,0.293713022751524,42.0013624114544,3.37813443070407e-09
"log(Prey.mass)...18","Eastern Mediterranean","adult","piscivorous",0.652009130082473,2.84395790386422,0.621375968997542,205.142805962542,3.90742334690307e-28
"log(Prey.mass)...19","Eastern Mediterranean","adult","planktivorous",-0.188526023745904,1.5578783039798,0.00077796106926157,0.0140142017500866,0.907076397953721
"log(Prey.mass)...20","Eastern Mediterranean","adult","predacious",0.171119695188262,1.77465298135465,0.0232312986385009,5.18487447041863,0.0237546050509432
"log(Prey.mass)...21","Europe, Celtic Sea ecosystem","adult","piscivorous",0.446320367632756,5.1972808252112,0.360856572626597,1179.43695879791,2.57239252512457e-205
"log(Prey.mass)...22","French Polynesian EEZ","adult","piscivorous",-0.00344440892783732,9.80728447063054,0.000137077297159915,0.257603552962259,0.611830912872726
"log(Prey.mass)...23","French Polynesian EEZ","adult","planktivorous",0.0631832278723199,10.2425928591287,0.0480008709870066,6.85727355759356,0.00982944116500026
"log(Prey.mass)...24","French Polynesian EEZ","adult","predacious",-0.0138206603455187,9.75686769613354,0.00181756641442427,3.62354319511696,0.0571115661405521
"log(Prey.mass)...25","Great Channel South, Gulf of Maine, New England","adult","piscivorous",0.275645033772453,10.77512339479,0.236407118878563,224.458825408694,2.09079088296569e-44
"log(Prey.mass)...26","Great Channel South, Gulf of Maine, New England","adult","predacious",0.357253501132582,12.5263754272109,0.197889961568321,5.42765823379468,0.0293962572369465
"log(Prey.mass)...27","Great South Bay, Long Island, New York","adult","piscivorous",0.381984962733833,3.04781706869486,0.268430572529679,108.242657392169,8.43412441946471e-22
"log(Prey.mass)...28","Greenland","larva","planktivorous",0.258813702633504,-5.62650778746391,0.0982205090743173,5.1191715634985,0.0283256454055265
"log(Prey.mass)...30","Gulf of Alaska","juvenile","predacious",0.0181268163369602,0.804111972645455,0.133818349195858,6.33418211057298,0.0158489245186191
"log(Prey.mass)...31","Gulf of Maine, New England","adult","piscivorous",0.0637787507225828,12.140634178118,0.00369890195870807,0.293298135786885,0.589638854188326
"log(Prey.mass)...32","Gulf of Maine, New England","adult","predacious",-5.8170431150463e-15,12.0317192583854,0.422621943704169,2.19590235078641,0.323133640956425
"log(Prey.mass)...33","Jeffreys Ledge, Gulf of Maine, New England","adult","piscivorous",0.107808454068971,11.3795272341053,0.0955172500566952,40.8688565638849,4.69052308104203e-10
"log(Prey.mass)...34","Jeffreys Ledge, Gulf of Maine, New England","adult","predacious",-0.0283090245871117,11.7555841576777,0.00621738162868263,0.218969775664344,0.642726920235099
"log(Prey.mass)...35","Mid Atlantic","adult","piscivorous",0.102300793203792,4.15309731870386,0.0484716094614918,3.71867778814919,0.0576960215780974
"log(Prey.mass)...36","Mid Atlantic","adult","predacious",0.358208680187523,3.76625484911866,0.657742185314356,69.1838656571367,6.67328707353878e-10
"log(Prey.mass)...37","NE North Sea and Skaggerak","larva / juvenile","predacious",1.09890063283713,10.4119448445479,0.71542157959282,47.7654278662958,1.36957984453215e-06
"log(Prey.mass)...38","Off the Bay of Biscay","adult","piscivorous",0.192985490250415,10.6433842999675,0.142626808084678,59.2217533239131,1.39971967104617e-13
"log(Prey.mass)...39","Off the Bay of Biscay","juvenile","piscivorous",3.02617565393958e-14,8.62335338724499,0.499986237162604,2976.83611664329,6.58962714844926e-06
"log(Prey.mass)...40","Off the Bay of Biscay","adult","predacious",0.203506978120732,10.4197372146788,0.0873452550974306,45.0768654638197,5.46572575916868e-11
"log(Prey.mass)...41","Off the Bay of Biscay","juvenile","predacious",7.45851832490153e-16,8.62335338724469,0.500138266010441,600.331930214392,0.488887342396187
"log(Prey.mass)...42","Oxwich Bay, Wales","juvenile","predacious",0.0778070237368153,-0.594631029295359,0.0805459740919787,115.02137246974,8.7794789350942e-26
"log(Prey.mass)...43","South of Marthas Vineyard, New England","adult","piscivorous",0.486799091516026,9.90592950591141,0.136288598876772,2.20911797828935,0.159367429953626
"log(Prey.mass)...44","South of Marthas Vineyard, New England","adult","predacious",0.0583894765003334,10.1808028012821,0.00265210461319653,0.0717972383433314,0.790774221951632
"log(Prey.mass)...45","Stellwagen Bank, Gulf of Maine, New England","adult","piscivorous",0.108492499541345,11.7923413214185,0.0385393345397022,20.2024121275006,8.65041891346363e-06
"log(Prey.mass)...46","Stellwagen Bank, Gulf of Maine, New England","adult","predacious",0.182768954519519,12.6221600511456,0.206194400151178,1.29877138804795,0.306072332500695
"log(Prey.mass)...47","Strait of Georgia","larva / juvenile","insectivorous",0.384249046154572,-1.70826836601306,0.125577629410638,4.30836287934851,0.0465944025225441
"log(Prey.mass)...48","Strait of Georgia","larva / juvenile","piscivorous",0.652630804441673,4.96732009411791,0.502262057547569,9.08180416316188,0.0146301686798566
"log(Prey.mass)...49","Strait of Georgia","larva / juvenile","planktivorous",0.537539976546299,5.08312949598501,0.2383099678989,36.918661170477,1.55071505486178e-08
"log(Prey.mass)...50","Strait of Georgia","larva / juvenile","predacious",0.268276369110824,0.691896335575082,0.295127865134674,194.275419113642,3.91600471372262e-37
"log(Prey.mass)...51","W Greenland","juvenile","piscivorous",0.709121551017255,1.27848314402828,0.620397726006059,31.0523872001443,2.25023100017498e-05
"log(Prey.mass)...52","W Greenland","juvenile","predacious",0.0226113937961015,-1.98107729343187,0.124384727452091,19.8875720756,1.67213608756452e-05
"log(Prey.mass)...53","Western North Pacific","larva","planktivorous",0.161010317505004,-3.44871842565978,0.0857054685549204,20.2477216817684,1.11138645151139e-05
"log(Prey.mass)...54","Western North Pacific","larva","predacious",0.150488902922313,-2.66286554355492,0.146191921213292,38.8677115383766,2.18738751251502e-09
